#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id	node2_external_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	prediction	combined_score
NPR2	PDE6H	1852411	1845868	9606.ENSP00000341083	9606.ENSP00000266395	0	0	0	0	0	0	0.900	0	0	0.900
PDE6G	NT5C3	1851037	1843615	9606.ENSP00000328412	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
TYMP	NT5C1A	1844096	1843429	9606.ENSP00000252029	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
PSMB7	glutamic acid	1844696	-100000611	9606.ENSP00000259457	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
IMPDH2	NT5C3	1850365	1843615	9606.ENSP00000321584	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
PDE3A	NT5E	1853786	1844535	9606.ENSP00000351957	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0	0.900
ADH5	GSTM2	1847722	1843595	9606.ENSP00000296412	9606.ENSP00000241337	0	0	0	0	0	0	0.900	0.049	0	0.900
DCTPP1	NT5E	1850456	1844535	9606.ENSP00000322524	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0	0.900
GALE	B4GALT2	1856128	1849333	9606.ENSP00000363621	9606.ENSP00000310696	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	ADK	1857785	1847021	9606.ENSP00000373674	9606.ENSP00000286621	0	0	0	0	0	0	0.900	0	0	0.900
PSMB11	glutamic acid	1859133	-100000611	9606.ENSP00000386212	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
B4GALT1	GALE	1857087	1856128	9606.ENSP00000369055	9606.ENSP00000363621	0	0	0	0	0	0	0.900	0.041	0	0.900
GPX7	ALOX15	1854188	1847434	9606.ENSP00000354677	9606.ENSP00000293761	0	0	0	0	0	0	0.900	0	0	0.900
PDE4C	NT5C3	1853199	1843615	9606.ENSP00000347689	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
DARS	glutamic acid	1845491	-100000611	9606.ENSP00000264161	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE6H	1857785	1845868	9606.ENSP00000373674	9606.ENSP00000266395	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ALDH1A3	1861855	1851450	9606.ENSP00000431049	9606.ENSP00000332256	0	0	0	0	0	0	0.900	0	0	0.900
PDE1C	HPRT1	1858373	1847973	9606.ENSP00000379496	9606.ENSP00000298556	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	PDE6H	1847973	1845868	9606.ENSP00000298556	9606.ENSP00000266395	0	0	0	0	0	0	0.900	0	0	0.900
ALDH1B1	SMOX	1856733	1848937	9606.ENSP00000366927	9606.ENSP00000307252	0	0	0	0	0	0	0.900	0	0	0.900
PDE4B	NT5C	1851429	1843767	9606.ENSP00000332116	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE4A	1857785	1846154	9606.ENSP00000373674	9606.ENSP00000270474	0	0	0	0	0	0	0.900	0	0	0.900
PSMB11	CDK1	1859133	1858283	9606.ENSP00000386212	9606.ENSP00000378699	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	GMPR	1857785	1844718	9606.ENSP00000373674	9606.ENSP00000259727	0	0	0	0	0	0	0.900	0	0	0.900
CMPK2	NT5C1A	1844464	1843429	9606.ENSP00000256722	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0.047	0	0.900
KLK3	HDAC7	1849687	1842249	9606.ENSP00000314151	9606.ENSP00000080059	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	ATIC	1857785	1843445	9606.ENSP00000373674	9606.ENSP00000236959	0	0	0	0	0	0	0.900	0.046	0	0.900
PSMB11	NPEPPS	1859133	1850234	9606.ENSP00000386212	9606.ENSP00000320324	0	0	0	0	0	0	0.900	0	0	0.900
ADH7	GSTA5	1861470	1846914	9606.ENSP00000420269	9606.ENSP00000284562	0	0	0	0	0	0	0.900	0	0	0.900
ACADM	CARM1	1860801	1850764	9606.ENSP00000409612	9606.ENSP00000325690	0	0	0	0	0	0	0.900	0	0	0.900
PDE3A	HPRT1	1853786	1847973	9606.ENSP00000351957	9606.ENSP00000298556	0	0	0	0	0	0	0.900	0.041	0	0.900
GSTO2	ADH4	1852885	1845763	9606.ENSP00000345023	9606.ENSP00000265512	0	0	0	0	0	0	0.900	0	0	0.900
PDE6H	GMPR	1845868	1844718	9606.ENSP00000266395	9606.ENSP00000259727	0	0	0	0	0	0	0.900	0	0	0.900
FLAD1	BLVRB	1847337	1845339	9606.ENSP00000292180	9606.ENSP00000263368	0	0	0	0	0	0	0.900	0	0	0.900
CHD9	CYP7A1	1862956	1848316	9606.ENSP00000455307	9606.ENSP00000301645	0	0	0	0	0	0	0.900	0	0	0.900
P4HA3	PYCR1	1851440	1851083	9606.ENSP00000332170	9606.ENSP00000328858	0	0	0	0	0	0	0.900	0	0	0.900
CFD	F13A1	1851434	1845635	9606.ENSP00000332139	9606.ENSP00000264870	0	0	0	0	0	0	0.900	0.043	0	0.900
B4GALT3	FUT5	1850302	1844150	9606.ENSP00000320965	9606.ENSP00000252675	0	0	0	0	0	0	0.900	0	0	0.900
PDE1A	HPRT1	1851361	1847973	9606.ENSP00000331574	9606.ENSP00000298556	0	0	0	0	0	0	0.900	0	0	0.900
B4GALT3	FUT9	1850302	1848426	9606.ENSP00000320965	9606.ENSP00000302599	0	0	0	0	0	0	0.900	0	0	0.900
ADK	NT5C3	1847021	1843615	9606.ENSP00000286621	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0.043	0	0.900
CDK1	PSMB6	1858283	1846162	9606.ENSP00000378699	9606.ENSP00000270586	0	0	0	0	0	0	0.900	0	0	0.900
ALDH1A3	SMOX	1851450	1848937	9606.ENSP00000332256	9606.ENSP00000307252	0	0	0	0	0	0	0.900	0	0	0.900
GNAT3	PDE8A	1858594	1849424	9606.ENSP00000381339	9606.ENSP00000311453	0	0	0	0	0	0	0.900	0	0	0.900
GUCY1A2	PDE1C	1861866	1858373	9606.ENSP00000431245	9606.ENSP00000379496	0	0	0	0	0	0	0.900	0	0	0.900
ADK	PDE1B	1847021	1843651	9606.ENSP00000286621	9606.ENSP00000243052	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE1B	1857785	1843651	9606.ENSP00000373674	9606.ENSP00000243052	0	0	0	0	0	0	0.900	0	0	0.900
NUDT16	NT5E	1861561	1844535	9606.ENSP00000422375	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ADH4	1861855	1845763	9606.ENSP00000431049	9606.ENSP00000265512	0	0	0	0	0	0	0.900	0	0	0.900
CMPK2	NT5C	1844464	1843767	9606.ENSP00000256722	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
GPX8	GSTM2	1861608	1843595	9606.ENSP00000423822	9606.ENSP00000241337	0	0	0	0	0	0	0.900	0	0	0.900
PDE11A	NT5C	1846991	1843767	9606.ENSP00000286063	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
CARM1	ABCB4	1850764	1845793	9606.ENSP00000325690	9606.ENSP00000265723	0	0	0	0	0	0	0.900	0.041	0	0.900
NT5M	PDE7B	1857785	1849328	9606.ENSP00000373674	9606.ENSP00000310661	0	0	0	0	0	0	0.900	0	0	0.900
NUDT16	ATIC	1861561	1843445	9606.ENSP00000422375	9606.ENSP00000236959	0	0	0	0	0	0	0.900	0	0	0.900
GPX6	ALOX15	1854158	1847434	9606.ENSP00000354581	9606.ENSP00000293761	0	0	0	0	0	0	0.900	0	0	0.900
AOX1	PDXP	1856168	1842519	9606.ENSP00000363832	9606.ENSP00000215904	0	0	0	0	0	0	0.900	0	0	0.900
NAT8L	GOT2	1861003	1843750	9606.ENSP00000413064	9606.ENSP00000245206	0	0	0	0	0	0	0.900	0	0	0.900
PDE1A	NT5C	1851361	1843767	9606.ENSP00000331574	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
ALDH1A3	GSTM2	1851450	1843595	9606.ENSP00000332256	9606.ENSP00000241337	0	0	0	0	0	0	0.900	0	0	0.900
PDE6H	GUCY2C	1845868	1844851	9606.ENSP00000266395	9606.ENSP00000261170	0	0	0	0	0	0	0.900	0	0	0.900
PDE6H	NT5C3	1845868	1843615	9606.ENSP00000266395	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE9A	1857785	1847290	9606.ENSP00000373674	9606.ENSP00000291539	0	0	0	0	0	0	0.900	0	0	0.900
PDE7B	ADK	1849328	1847021	9606.ENSP00000310661	9606.ENSP00000286621	0	0	0	0	0	0	0.900	0	0	0.900
GSTM4	ADH1A	1855113	1842451	9606.ENSP00000358851	9606.ENSP00000209668	0	0	0	0	0	0	0.900	0	0	0.900
PYCR1	P4HA2	1851083	1842298	9606.ENSP00000328858	9606.ENSP00000166534	0	0	0	0	0	0	0.900	0	0	0.900
AADAT	glutamic acid	1843100	-100000611	9606.ENSP00000226840	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
PDE1A	ADK	1851361	1847021	9606.ENSP00000331574	9606.ENSP00000286621	0	0	0	0	0	0	0.900	0	0	0.900
GSTO2	ALDH3B2	1852885	1844353	9606.ENSP00000345023	9606.ENSP00000255084	0	0	0	0	0	0	0.900	0	0	0.900
PDE4D	NT5C	1852945	1843767	9606.ENSP00000345502	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
PDE1C	NT5E	1858373	1844535	9606.ENSP00000379496	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0	0.900
DNAJC6	FTH1	1858290	1846327	9606.ENSP00000378735	9606.ENSP00000273550	0	0	0	0	0	0	0.900	0	0	0.900
FLAD1	ACP5	1847337	1842712	9606.ENSP00000292180	9606.ENSP00000218758	0	0	0	0	0	0	0.900	0	0	0.900
GALT	B4GALT2	1856937	1849333	9606.ENSP00000368119	9606.ENSP00000310696	0	0	0	0	0	0	0.900	0.045	0	0.900
PDE3A	GMPR	1853786	1844718	9606.ENSP00000351957	9606.ENSP00000259727	0	0	0	0	0	0	0.900	0.041	0	0.900
GPX6	GSTA1	1854158	1851878	9606.ENSP00000354581	9606.ENSP00000335620	0	0	0	0	0	0	0.900	0.047	0	0.900
NTPCR	TPK1	1854414	1853953	9606.ENSP00000355587	9606.ENSP00000353165	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ALDH3B2	1861855	1844353	9606.ENSP00000431049	9606.ENSP00000255084	0	0	0	0	0	0	0.900	0	0	0.900
NPR2	PDE6D	1852411	1847076	9606.ENSP00000341083	9606.ENSP00000287600	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ADH1A	1861855	1842451	9606.ENSP00000431049	9606.ENSP00000209668	0	0	0	0	0	0	0.900	0	0	0.900
IMPDH1	NT5C1A	1852894	1843429	9606.ENSP00000345096	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	PDE11A	1847973	1846991	9606.ENSP00000298556	9606.ENSP00000286063	0	0	0	0	0	0	0.900	0.046	0	0.900
NT5M	UMPS	1857785	1843321	9606.ENSP00000373674	9606.ENSP00000232607	0	0	0	0	0	0	0.900	0	0	0.900
LNPEP	PSMB3	1843286	1843022	9606.ENSP00000231368	9606.ENSP00000225426	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ADH6	1861855	1858245	9606.ENSP00000431049	9606.ENSP00000378359	0	0	0	0	0	0	0.900	0	0	0.900
PDE6H	NT5C	1845868	1843767	9606.ENSP00000266395	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
PDE6G	NT5C	1851037	1843767	9606.ENSP00000328412	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
GNAT3	PDE8B	1858594	1845643	9606.ENSP00000381339	9606.ENSP00000264917	0	0	0	0	0	0	0.900	0	0	0.900
NAT8L	ASNS	1861003	1842325	9606.ENSP00000413064	9606.ENSP00000175506	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	IMPDH1	1857785	1852894	9606.ENSP00000373674	9606.ENSP00000345096	0	0	0	0	0	0	0.900	0	0	0.900
CASP3	FNTA	1849375	1848527	9606.ENSP00000311032	9606.ENSP00000303423	0	0	0	0	0	0	0.900	0	0	0.900
NPEPPS	glutamic acid	1850234	-100000611	9606.ENSP00000320324	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
PDE1A	NT5C3	1851361	1843615	9606.ENSP00000331574	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
GSTO2	ADH1A	1852885	1842451	9606.ENSP00000345023	9606.ENSP00000209668	0	0	0	0	0	0	0.900	0	0	0.900
B4GALT2	FUT3	1849333	1848747	9606.ENSP00000310696	9606.ENSP00000305603	0	0	0	0	0	0	0.900	0	0	0.900
PDE4D	NT5C3	1852945	1843615	9606.ENSP00000345502	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
DCTPP1	NT5C1A	1850456	1843429	9606.ENSP00000322524	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE4C	1857785	1853199	9606.ENSP00000373674	9606.ENSP00000347689	0	0	0	0	0	0	0.900	0	0	0.900
ADH7	GSTO1	1861470	1855084	9606.ENSP00000420269	9606.ENSP00000358727	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	HPRT1	1857785	1847973	9606.ENSP00000373674	9606.ENSP00000298556	0	0	0	0	0	0	0.900	0	0	0.900
GPX8	MGST2	1861608	1845761	9606.ENSP00000423822	9606.ENSP00000265498	0	0	0	0	0	0	0.900	0	0	0.900
GMPR2	PDE3A	1859676	1853786	9606.ENSP00000392859	9606.ENSP00000351957	0	0	0	0	0	0	0.900	0	0	0.900
DTYMK	NT5C1A	1848672	1843429	9606.ENSP00000304802	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
TAF9B	TAF9	1852271	1842675	9606.ENSP00000339917	9606.ENSP00000217893	0	0	0	0.982	0	0	0.900	0.305	0	0.900
GSTO1	ALDH3B2	1855084	1844353	9606.ENSP00000358727	9606.ENSP00000255084	0	0	0	0	0	0	0.900	0	0	0.900
LNPEP	PSMA3	1843286	1842599	9606.ENSP00000231368	9606.ENSP00000216455	0	0	0	0	0	0	0.900	0	0	0.900
GLDC	MTHFD1L	1857365	1854567	9606.ENSP00000370737	9606.ENSP00000356290	0.274	0	0	0	0.434	0	0	0.776	0	0.900
COMT	AOC2	1854135	1844253	9606.ENSP00000354511	9606.ENSP00000253799	0	0	0	0	0	0	0.900	0	0	0.900
PDE8A	NT5C	1849424	1843767	9606.ENSP00000311453	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	NT5C3	1847973	1843615	9606.ENSP00000298556	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
PDE6C	NT5C	1855486	1843767	9606.ENSP00000360502	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
LARS	SARS	1858198	1843407	9606.ENSP00000377954	9606.ENSP00000234677	0.077	0	0	0	0.405	0	0	0.832	0	0.900
NEU2	ARSA	1843371	1842549	9606.ENSP00000233840	9606.ENSP00000216124	0	0	0	0	0	0	0.900	0	0	0.900
ALDH3B2	GSTM2	1844353	1843595	9606.ENSP00000255084	9606.ENSP00000241337	0	0	0	0	0	0	0.900	0	0	0.900
PDE5A	NT5C3	1853125	1843615	9606.ENSP00000347046	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
PLAU	UBA1	1855748	1852107	9606.ENSP00000361850	9606.ENSP00000338413	0	0	0	0	0	0	0.900	0	0	0.900
CMPK1	DCTPP1	1855566	1850456	9606.ENSP00000360939	9606.ENSP00000322524	0	0	0	0	0	0	0.900	0	0	0.900
PDE6G	GUCY1A3	1851037	1847748	9606.ENSP00000328412	9606.ENSP00000296518	0	0	0	0	0	0	0.900	0	0	0.900
GUCY1A3	PDE6H	1847748	1845868	9606.ENSP00000296518	9606.ENSP00000266395	0	0	0	0	0	0	0.900	0	0	0.900
LARS	glutamic acid	1858198	-100000611	9606.ENSP00000377954	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
BCKDHA	glutamic acid	1846123	-100000611	9606.ENSP00000269980	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
PSMA1	glutamic acid	1861079	-100000611	9606.ENSP00000414359	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
GMPR	NT5C1A	1844718	1843429	9606.ENSP00000259727	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE1A	1857785	1851361	9606.ENSP00000373674	9606.ENSP00000331574	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE6G	1857785	1851037	9606.ENSP00000373674	9606.ENSP00000328412	0	0	0	0	0	0	0.900	0	0	0.900
COMT	ALDH3B2	1854135	1844353	9606.ENSP00000354511	9606.ENSP00000255084	0	0	0	0	0	0	0.900	0	0	0.900
PDE7A	ADK	1859054	1847021	9606.ENSP00000385632	9606.ENSP00000286621	0	0	0	0	0	0	0.900	0	0	0.900
ADH6	GSTM4	1858245	1855113	9606.ENSP00000378359	9606.ENSP00000358851	0	0	0	0	0	0	0.900	0	0	0.900
DCTPP1	NT5C	1850456	1843767	9606.ENSP00000322524	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
GPX6	GSTA5	1854158	1846914	9606.ENSP00000354581	9606.ENSP00000284562	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ALDH3A1	1861855	1843050	9606.ENSP00000431049	9606.ENSP00000225740	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE5A	1857785	1853125	9606.ENSP00000373674	9606.ENSP00000347046	0	0	0	0	0	0	0.900	0	0	0.900
NT5E	PDE1B	1844535	1843651	9606.ENSP00000257770	9606.ENSP00000243052	0	0	0	0	0	0	0.900	0.041	0	0.900
B4GALT3	FUT3	1850302	1848747	9606.ENSP00000320965	9606.ENSP00000305603	0	0	0	0	0	0	0.900	0	0	0.900
CHD9	ACADM	1862956	1860801	9606.ENSP00000455307	9606.ENSP00000409612	0	0	0	0	0	0	0.900	0	0	0.900
CHD9	CCNC	1862956	1861768	9606.ENSP00000455307	9606.ENSP00000428982	0	0	0	0	0	0	0.900	0	0	0.900
IDO2	TPH2	1862252	1851106	9606.ENSP00000443432	9606.ENSP00000329093	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE2A	1857785	1851777	9606.ENSP00000373674	9606.ENSP00000334910	0	0	0	0	0	0	0.900	0	0	0.900
GSTA4	GPX6	1855379	1854158	9606.ENSP00000359998	9606.ENSP00000354581	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	IMPDH2	1857785	1850365	9606.ENSP00000373674	9606.ENSP00000321584	0	0	0	0	0	0	0.900	0	0	0.900
PDE6D	GMPR	1847076	1844718	9606.ENSP00000287600	9606.ENSP00000259727	0	0	0	0	0	0	0.900	0	0	0.900
PDE4B	NT5E	1851429	1844535	9606.ENSP00000332116	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0.047	0	0.900
SHMT1	AGXT2	1850087	1843287	9606.ENSP00000318868	9606.ENSP00000231420	0	0	0	0	0	0	0.900	0.044	0	0.900
TYMS	NT5C1A	1849803	1843429	9606.ENSP00000315644	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
AOX1	PDXK	1856168	1847295	9606.ENSP00000363832	9606.ENSP00000291565	0	0	0	0	0	0	0.900	0	0	0.900
PDE6C	HPRT1	1855486	1847973	9606.ENSP00000360502	9606.ENSP00000298556	0	0	0	0	0	0	0.900	0	0	0.900
PDE7B	NT5E	1849328	1844535	9606.ENSP00000310661	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0	0	0.900
PDE7B	NT5C	1849328	1843767	9606.ENSP00000310661	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
NT5E	PDE6A	1844535	1844368	9606.ENSP00000257770	9606.ENSP00000255266	0	0	0	0	0	0	0.900	0	0	0.900
GUCY1A2	PDE1B	1861866	1843651	9606.ENSP00000431245	9606.ENSP00000243052	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	PDE9A	1847973	1847290	9606.ENSP00000298556	9606.ENSP00000291539	0	0	0	0	0	0	0.900	0	0	0.900
PDE6G	GUCY1B3	1851037	1845543	9606.ENSP00000328412	9606.ENSP00000264424	0	0	0	0	0	0	0.900	0	0	0.900
PHGDH	glutamic acid	1855016	-100000611	9606.ENSP00000358417	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
PDE7A	NT5M	1859054	1857785	9606.ENSP00000385632	9606.ENSP00000373674	0	0	0	0	0	0	0.900	0	0	0.900
PDE4A	NT5C	1846154	1843767	9606.ENSP00000270474	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
GPX8	GSTA4	1861608	1855379	9606.ENSP00000423822	9606.ENSP00000359998	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	PDE6D	1847973	1847076	9606.ENSP00000298556	9606.ENSP00000287600	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	PDE1B	1847973	1843651	9606.ENSP00000298556	9606.ENSP00000243052	0	0	0	0	0	0	0.900	0	0	0.900
PDE3A	NT5C1A	1853786	1843429	9606.ENSP00000351957	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
GMPR2	PDE6H	1859676	1845868	9606.ENSP00000392859	9606.ENSP00000266395	0	0	0	0	0	0	0.900	0.042	0	0.900
PDE10A	NT5C	1862089	1843767	9606.ENSP00000438284	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
PDE6D	NT5C1A	1847076	1843429	9606.ENSP00000287600	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ADH5	1861855	1847722	9606.ENSP00000431049	9606.ENSP00000296412	0	0	0	0	0	0	0.900	0	0	0.900
GUCY1A2	PDE1A	1861866	1851361	9606.ENSP00000431245	9606.ENSP00000331574	0	0	0	0	0	0	0.900	0	0	0.900
PDE6A	NT5C	1844368	1843767	9606.ENSP00000255266	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
MGST2	ALDH3B2	1845761	1844353	9606.ENSP00000265498	9606.ENSP00000255084	0	0	0	0	0	0	0.900	0	0	0.900
PSMB3	glutamic acid	1843022	-100000611	9606.ENSP00000225426	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
GSTO2	ALDH3A1	1852885	1843050	9606.ENSP00000345023	9606.ENSP00000225740	0	0	0	0	0	0	0.900	0	0	0.900
PDE7A	NT5C	1859054	1843767	9606.ENSP00000385632	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
PSMA5	glutamic acid	1846187	-100000611	9606.ENSP00000271308	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
ADPRM	GPD1	1857092	1848251	9606.ENSP00000369099	9606.ENSP00000301149	0	0	0	0	0	0	0.900	0	0	0.900
GPX8	GSTA3	1861608	1842464	9606.ENSP00000423822	9606.ENSP00000211122	0	0	0	0	0	0	0.900	0	0	0.900
GSTO1	ADH4	1855084	1845763	9606.ENSP00000358727	9606.ENSP00000265512	0	0	0	0	0	0	0.900	0	0	0.900
PDE4A	NT5C3	1846154	1843615	9606.ENSP00000270474	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0.045	0	0.900
PPOX	UROD	1852758	1843815	9606.ENSP00000343943	9606.ENSP00000246337	0.462	0	0.200	0	0.112	0	0	0.770	0	0.900
MMP7	CTSL2	1844765	1844700	9606.ENSP00000260227	9606.ENSP00000259470	0	0	0	0	0	0	0.900	0	0	0.900
PDE6D	NT5C	1847076	1843767	9606.ENSP00000287600	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
PDE10A	NT5C3	1862089	1843615	9606.ENSP00000438284	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
ADPRM	GPD1L	1857092	1846804	9606.ENSP00000369099	9606.ENSP00000282541	0	0	0	0	0	0	0.900	0	0	0.900
NT5M	PDE4D	1857785	1852945	9606.ENSP00000373674	9606.ENSP00000345502	0	0	0	0	0	0	0.900	0	0	0.900
NEU3	ARSA	1847463	1842549	9606.ENSP00000294064	9606.ENSP00000216124	0	0	0	0	0	0	0.900	0	0	0.900
PDE6G	GUCY2C	1851037	1844851	9606.ENSP00000328412	9606.ENSP00000261170	0	0	0	0	0	0	0.900	0	0	0.900
AOX1	PNPO	1856168	1843033	9606.ENSP00000363832	9606.ENSP00000225573	0	0	0	0	0	0	0.900	0	0	0.900
CHD9	CLOCK	1862956	1849105	9606.ENSP00000455307	9606.ENSP00000308741	0	0	0	0	0	0	0.900	0	0	0.900
TACR3	glutamic acid	1848519	-100000611	9606.ENSP00000303325	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
GSTO1	ADH1A	1855084	1842451	9606.ENSP00000358727	9606.ENSP00000209668	0	0	0	0	0	0	0.900	0	0	0.900
PDE3A	NT5C	1853786	1843767	9606.ENSP00000351957	9606.ENSP00000245552	0	0	0	0	0	0	0.900	0	0	0.900
NEU4	ARSA	1850233	1842549	9606.ENSP00000320318	9606.ENSP00000216124	0	0	0	0	0	0	0.900	0	0	0.900
PDE6H	GUCY1B3	1845868	1845543	9606.ENSP00000266395	9606.ENSP00000264424	0	0	0	0	0	0	0.900	0	0	0.900
BCKDHB	glutamic acid	1850040	-100000611	9606.ENSP00000318351	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
PDE7A	NT5C3	1859054	1843615	9606.ENSP00000385632	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
HPRT1	NT5C1A	1847973	1843429	9606.ENSP00000298556	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
ALDH9A1	SMOX	1853096	1848937	9606.ENSP00000346827	9606.ENSP00000307252	0	0	0	0	0	0	0.900	0	0	0.900
PDE9A	NT5E	1847290	1844535	9606.ENSP00000291539	9606.ENSP00000257770	0	0	0	0	0	0	0.900	0.043	0	0.900
NPR1	PDE6D	1854849	1847076	9606.ENSP00000357669	9606.ENSP00000287600	0	0	0	0	0	0	0.900	0	0	0.900
B4GALT2	FUT6	1849333	1847043	9606.ENSP00000310696	9606.ENSP00000286955	0	0	0	0	0	0	0.900	0	0	0.900
PDE1C	NT5C3	1858373	1843615	9606.ENSP00000379496	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
GSTA5	ALDH3B2	1846914	1844353	9606.ENSP00000284562	9606.ENSP00000255084	0	0	0	0	0	0	0.900	0	0	0.900
PDE6H	NT5C1A	1845868	1843429	9606.ENSP00000266395	9606.ENSP00000235628	0	0	0	0	0	0	0.900	0	0	0.900
GSTK1	ADH1B	1861855	1848863	9606.ENSP00000431049	9606.ENSP00000306606	0	0	0	0	0	0	0.900	0	0	0.900
GNPNAT1	glutamic acid	1842592	-100000611	9606.ENSP00000216410	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
PDE2A	NT5C3	1851777	1843615	9606.ENSP00000334910	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
PDE8A	NT5C3	1849424	1843615	9606.ENSP00000311453	9606.ENSP00000242210	0	0	0	0	0	0	0.900	0	0	0.900
PSMB6	glutamic acid	1846162	-100000611	9606.ENSP00000270586	-1.CID100000611	0	0	0	0	0	0	0.900	0	0	0.900
